,dataSetName,1_k,2_k,3_k,4_k,5_k,6_k,7_k,8_k,9_k,10_k,11_k,12_k,13_k,14_k,15_k,16_k,17_k,18_k,19_k,20_k,21_k,22_k,23_k,24_k,25_k,26_k,27_k,28_k,29_k,30_k,31_k,32_k,33_k,34_k,35_k,36_k,37_k,38_k,39_k,40_k,41_k,42_k,43_k,44_k,45_k,46_k,47_k,48_k,49_k,50_k
0,WWC_09_01_2021_no_nulls_4_classes.csv,48.1,48.86666666666667,46.68333333333334,46.97,46.60999999999999,47.75333333333333,47.330000000000005,47.57,48.583333333333336,48.826666666666675,48.53333333333333,49.419999999999995,48.97,49.81333333333333,49.553333333333335,48.69,49.6,48.54999999999999,48.88999999999999,49.336666666666666,49.52,50.4,50.49,50.77333333333333,50.156666666666666,50.123333333333335,49.919999999999995,50.356666666666676,50.03666666666666,50.453333333333326,50.46666666666667,50.699999999999996,50.35333333333333,50.13666666666666,51.1,50.68,51.050000000000004,51.32666666666666,50.46333333333333,51.196666666666665,50.376666666666665,50.70666666666667,51.23,51.29333333333333,50.81333333333333,51.43333333333334,51.45666666666667,51.26333333333333,50.45666666666667,50.98333333333333
1,WWC_09_01_2021_no_nulls_8_classes.csv,51.81666666666666,51.66,50.82333333333333,51.27333333333333,51.82,51.836666666666666,51.29333333333333,51.19,52.17333333333334,52.03666666666667,51.699999999999996,51.28333333333333,51.25666666666667,51.78333333333333,51.24,50.923333333333325,50.379999999999995,50.18666666666667,50.71666666666667,51.173333333333325,50.84666666666667,51.72,51.07333333333333,51.93,51.36000000000001,51.74333333333334,52.02,51.53333333333333,51.18333333333334,51.050000000000004,50.67333333333334,51.126666666666665,51.04,51.63666666666666,50.94333333333333,51.38333333333333,51.93666666666667,52.10333333333333,50.76333333333333,52.11000000000001,51.39000000000001,50.943333333333335,51.19,51.29333333333333,51.20666666666667,52.163333333333334,51.63333333333333,51.333333333333336,51.21,51.32
2,WWC_09_01_2021_no_nulls_16_classes.csv,53.46,53.123333333333335,54.13666666666666,54.050000000000004,54.31666666666666,53.96666666666667,54.68333333333334,54.20333333333334,54.42666666666667,54.626666666666665,54.93,54.383333333333326,54.26666666666667,54.71333333333333,54.38666666666666,53.333333333333336,54.339999999999996,53.60666666666666,53.67333333333334,53.800000000000004,54.28333333333333,53.92666666666667,53.04,53.89333333333334,53.73,52.98,53.38999999999999,53.02,52.99666666666667,53.03,53.279999999999994,53.43,52.82,52.21333333333333,53.156666666666666,52.23666666666666,53.02,53.080000000000005,52.94666666666666,52.82,52.75333333333333,52.830000000000005,52.39333333333334,52.593333333333334,52.72,52.60333333333333,52.21666666666667,52.446666666666665,52.336666666666666,52.74333333333334
3,WWC_09_01_2021_no_nulls_32_classes.csv,53.52333333333333,53.06333333333333,54.57666666666666,55.57333333333333,56.133333333333326,55.71666666666667,56.13333333333333,56.11000000000001,56.26666666666667,56.45000000000001,55.23666666666667,56.406666666666666,56.68333333333334,56.71,56.173333333333325,56.39333333333334,56.18333333333334,55.60666666666666,56.13,56.16333333333333,56.38333333333333,56.04,56.31666666666666,56.10666666666666,56.64333333333334,55.839999999999996,55.74,55.47666666666667,56.38333333333333,55.19666666666666,56.15,55.04333333333333,55.419999999999995,54.75333333333333,55.54666666666666,55.39666666666667,54.97,55.03666666666667,55.32,54.98,55.28,55.160000000000004,56.23666666666666,55.24666666666666,55.586666666666666,54.946666666666665,54.913333333333334,56.086666666666666,55.18333333333334,55.169999999999995
4,WWC_09_01_2021_no_nulls_64_classes.csv,54.093333333333334,54.97,55.173333333333325,55.623333333333335,55.22,55.169999999999995,55.63999999999999,55.25333333333333,55.07666666666666,55.163333333333334,55.85666666666666,55.449999999999996,56.56666666666666,55.68666666666667,54.99666666666667,55.73,54.98,55.47,56.04666666666666,55.403333333333336,55.93,56.03,55.81,55.74,56.593333333333334,55.78333333333333,55.663333333333334,54.57333333333333,55.336666666666666,56.080000000000005,56.1,55.086666666666666,55.06333333333333,54.836666666666666,55.53,54.78666666666667,54.586666666666666,55.12,55.78666666666666,55.75666666666666,55.583333333333336,54.18333333333334,55.75666666666667,55.22,54.839999999999996,55.330000000000005,54.51,55.45333333333334,54.36666666666667,54.74333333333333
5,WWC_09_01_2021_no_nulls_128_classes.csv,53.85666666666666,53.99333333333333,54.86333333333334,54.74333333333333,55.13666666666666,54.82,55.163333333333334,55.18666666666667,55.06999999999999,55.24666666666666,55.156666666666666,55.42666666666667,55.080000000000005,55.28,54.79666666666666,54.99666666666667,55.56666666666667,55.196666666666665,54.47666666666667,54.416666666666664,55.02,54.51,54.64333333333334,56.07333333333333,55.29666666666666,55.46333333333333,55.453333333333326,55.28,55.50333333333333,54.75,55.370000000000005,55.95666666666667,54.90333333333333,54.87,54.71333333333333,54.77666666666667,54.96666666666667,55.02333333333333,54.903333333333336,54.776666666666664,54.78666666666667,54.52,55.13,54.343333333333334,54.85333333333333,54.870000000000005,54.379999999999995,55.373333333333335,55.589999999999996,55.03
6,WWC_09_01_2021_no_nulls_256_classes.csv,54.96,54.29999999999999,55.60666666666666,56.173333333333325,56.81,56.21333333333333,56.306666666666665,56.72666666666667,56.71,57.10333333333333,57.15,56.449999999999996,57.15,56.63333333333333,56.35999999999999,56.97,56.64333333333334,56.95333333333334,56.626666666666665,56.373333333333335,56.81666666666666,57.17666666666667,56.19,56.46666666666666,56.85,56.64333333333334,56.82333333333332,57.04666666666666,58.04666666666666,56.473333333333336,57.31666666666666,56.44333333333333,56.54,56.349999999999994,56.849999999999994,57.50333333333333,57.75666666666666,56.51666666666667,57.24333333333334,56.51666666666667,57.45333333333334,56.96666666666667,56.796666666666674,56.74,56.6,57.52,56.94333333333333,56.72,56.52333333333333,56.35666666666666
7,WWC_09_01_2021_no_nulls_800_classes.csv,55.46333333333333,55.20333333333334,56.47,56.47333333333333,57.79,57.03333333333333,57.419999999999995,56.97666666666667,57.99666666666666,58.01333333333333,58.053333333333335,57.946666666666665,58.53333333333333,58.223333333333336,58.99333333333334,58.44,58.03,58.45666666666667,58.85333333333333,58.373333333333335,58.29666666666666,59.39333333333334,59.51,58.61333333333334,58.29333333333333,58.69,58.45666666666667,58.173333333333325,58.46666666666667,59.26666666666667,58.85666666666666,58.053333333333335,58.96,58.776666666666664,59.166666666666664,58.60666666666666,58.99,58.96333333333333,59.42666666666667,58.96666666666667,58.99,58.59,59.199999999999996,59.78333333333333,58.27333333333333,59.02666666666667,58.92333333333334,59.06666666666666,58.57333333333333,59.14000000000001
8,WWC_09_01_2021_no_nulls_1000_classes.csv,55.36666666666667,55.77,56.68333333333334,56.48333333333333,57.403333333333336,57.23666666666667,57.60999999999999,57.6,57.830000000000005,57.89666666666667,58.080000000000005,58.77666666666667,58.096666666666664,58.69,59.10333333333333,58.699999999999996,59.0,58.65,58.95666666666667,59.52,58.13999999999999,58.883333333333326,59.80666666666667,59.36000000000001,59.379999999999995,59.083333333333336,59.71,59.47333333333333,59.843333333333334,58.92666666666668,59.53333333333333,58.97333333333333,58.85,57.67333333333334,57.98333333333333,59.04333333333333,59.27666666666667,59.02666666666667,59.24333333333334,59.56666666666667,58.873333333333335,58.67333333333334,60.15333333333333,59.57,59.650000000000006,59.06666666666666,59.01666666666667,59.13333333333333,59.02333333333333,59.60999999999999
9,WWC_09_01_2021_no_nulls_1300_classes.csv,55.71666666666666,56.29333333333333,56.916666666666664,56.88333333333333,56.77,56.43,57.11000000000001,58.07333333333333,58.21333333333334,57.76333333333333,57.93333333333334,58.93333333333334,58.92666666666668,59.68666666666667,58.76666666666667,57.806666666666665,59.093333333333334,58.666666666666664,59.663333333333334,59.85999999999999,58.656666666666666,59.02333333333333,59.29333333333333,59.45333333333334,59.20666666666667,58.94,60.03666666666667,59.160000000000004,59.15,60.17666666666667,59.60999999999999,59.150000000000006,59.85333333333333,59.68333333333334,59.626666666666665,59.79333333333333,60.18666666666667,59.94333333333333,59.919999999999995,59.56,59.97666666666667,59.79333333333333,60.73333333333333,59.416666666666664,59.71,59.55666666666667,59.11666666666667,59.47,59.93666666666667,59.75333333333333
10,WWC_09_01_2021_no_nulls_1600_classes.csv,54.50333333333333,55.47,56.71666666666667,56.88333333333333,57.89333333333334,57.03333333333333,57.84,56.60666666666666,58.656666666666666,58.60333333333333,59.333333333333336,58.406666666666666,58.346666666666664,58.666666666666664,58.866666666666674,59.23333333333333,59.21,58.39000000000001,59.48333333333333,59.28666666666667,58.88333333333333,59.373333333333335,59.38666666666668,58.93333333333334,60.093333333333334,59.23333333333333,59.99,59.660000000000004,60.63666666666668,59.203333333333326,60.45666666666667,59.653333333333336,60.336666666666666,59.92666666666667,59.63666666666666,60.68333333333333,59.98666666666667,60.10333333333333,60.23666666666666,59.21666666666667,59.81,59.836666666666666,60.18666666666667,60.14666666666667,59.73666666666667,59.416666666666664,59.28333333333333,60.053333333333335,59.36333333333334,59.81
11,WWC_09_01_2021_no_nulls_1900_classes.csv,55.75666666666667,55.18,57.126666666666665,56.276666666666664,57.419999999999995,57.49000000000001,58.34,57.74,57.77333333333333,58.96,58.843333333333334,58.54666666666666,59.083333333333336,58.72333333333333,58.49,58.373333333333335,58.42666666666667,59.20666666666667,58.903333333333336,60.01,58.66,59.49666666666667,59.126666666666665,59.32333333333333,60.35666666666666,60.78,60.52,60.02333333333333,60.35666666666666,59.43666666666667,59.97666666666667,59.4,60.28,60.82,60.07,59.946666666666665,59.82,59.79333333333333,60.76333333333334,60.46,60.43000000000001,59.906666666666666,60.06,59.97,59.64333333333334,59.11666666666667,60.093333333333334,60.120000000000005,60.626666666666665,60.64666666666667
12,WWC_09_01_2021_no_nulls_2200_classes.csv,55.70000000000001,55.800000000000004,56.76666666666667,57.653333333333336,57.449999999999996,57.053333333333335,58.59666666666667,58.23666666666667,57.89666666666667,57.870000000000005,57.97,58.56666666666666,58.833333333333336,58.64333333333334,59.04333333333333,59.133333333333326,59.22666666666667,59.093333333333334,59.45333333333334,59.093333333333334,58.69,59.41,59.42666666666667,59.51333333333333,60.03,59.87,59.943333333333335,59.5,59.61666666666667,60.60666666666666,59.669999999999995,59.593333333333334,59.81,60.196666666666665,59.79333333333333,60.32999999999999,59.97666666666667,59.903333333333336,60.03666666666667,59.68,60.303333333333335,59.96,59.300000000000004,59.86333333333334,60.39666666666667,60.81666666666666,59.53666666666667,60.093333333333334,59.64666666666667,60.21333333333333
13,WWC_09_01_2021_no_nulls_2500_classes.csv,55.85666666666666,55.57,57.00999999999999,57.0,57.583333333333336,57.57666666666666,57.48666666666666,58.343333333333334,58.70666666666667,57.95666666666667,58.61666666666667,58.30666666666667,58.98333333333333,59.60333333333333,58.94,59.343333333333334,59.45333333333334,60.03333333333333,59.95333333333334,59.776666666666664,60.086666666666666,60.12,59.50333333333333,58.68333333333334,59.75333333333333,59.946666666666665,60.07666666666666,59.68666666666667,60.580000000000005,59.1,59.69333333333333,59.75333333333333,59.669999999999995,59.919999999999995,60.580000000000005,60.48666666666667,59.99666666666667,60.81666666666666,60.26333333333333,61.00666666666667,60.32,60.45666666666667,60.24333333333333,59.870000000000005,60.836666666666666,60.29666666666666,60.10999999999999,60.27,60.663333333333334,60.446666666666665
14,WWC_09_01_2021_no_nulls_AVG_4_classes.csv,50.93,52.18,50.17333333333334,51.156666666666666,49.14333333333334,50.03666666666666,49.27,50.576666666666675,50.59,51.14666666666667,51.46666666666667,51.88333333333333,51.64666666666667,52.06,51.79,51.54666666666666,50.846666666666664,51.28333333333334,51.06,51.583333333333336,52.45666666666667,52.85,52.48666666666666,52.99,51.93666666666667,53.10666666666666,52.34,52.673333333333325,52.32333333333333,52.81,52.379999999999995,52.75333333333333,52.98333333333333,53.446666666666665,53.03333333333333,52.846666666666664,53.28666666666667,53.13,53.60666666666666,53.42666666666667,53.48333333333333,53.86666666666667,53.22,53.666666666666664,53.38333333333333,53.51666666666667,53.596666666666664,53.44333333333333,53.88999999999999,53.89666666666667
15,WWC_09_01_2021_no_nulls_AVG_8_classes.csv,53.99666666666667,54.31666666666666,54.68000000000001,54.85,54.60333333333333,54.84666666666667,53.92333333333334,53.92666666666667,53.656666666666666,53.623333333333335,54.193333333333335,53.76333333333333,54.07333333333333,53.97,53.56666666666666,53.79999999999999,53.28666666666666,53.26,53.053333333333335,53.223333333333336,53.44,53.68000000000001,53.72333333333333,53.843333333333334,53.78333333333334,53.656666666666666,53.13666666666666,53.650000000000006,53.50666666666667,53.79333333333333,53.46333333333333,53.98,53.553333333333335,53.98333333333334,53.77333333333333,53.583333333333336,53.85,53.68666666666667,54.416666666666664,53.803333333333335,53.74333333333334,54.14666666666667,54.04,53.43333333333334,53.57333333333333,53.830000000000005,53.64666666666667,53.71666666666667,54.163333333333334,53.69
16,WWC_09_01_2021_no_nulls_AVG_16_classes.csv,56.156666666666666,55.68333333333334,56.70333333333334,56.74666666666666,56.68666666666667,56.946666666666665,57.10999999999999,57.21666666666667,56.53666666666667,56.98,57.093333333333334,57.35,56.669999999999995,56.71333333333334,56.666666666666664,56.09,55.95333333333334,55.833333333333336,55.63666666666666,56.089999999999996,55.69333333333333,55.586666666666666,55.69333333333333,55.620000000000005,56.01666666666667,55.903333333333336,55.24333333333333,55.13333333333333,55.01666666666667,55.31,55.62,55.36333333333334,55.416666666666664,54.97666666666667,55.04333333333333,55.42666666666667,54.98,54.78333333333333,55.23666666666667,55.11000000000001,54.64666666666667,54.873333333333335,55.38666666666666,55.18333333333334,54.28333333333333,55.086666666666666,55.06999999999999,54.830000000000005,53.88,54.57333333333333
17,WWC_09_01_2021_no_nulls_AVG_32_classes.csv,56.28,57.24666666666667,57.080000000000005,57.77333333333333,58.23,58.07,58.35666666666666,58.63,58.580000000000005,59.050000000000004,58.696666666666665,58.68666666666667,58.879999999999995,58.91,58.81333333333333,58.169999999999995,58.81,58.663333333333334,58.79,58.06333333333333,58.51666666666667,58.04333333333333,58.21666666666666,58.06666666666666,58.169999999999995,58.79,58.19333333333333,58.01666666666667,58.19333333333333,58.083333333333336,58.35999999999999,58.47333333333333,57.92666666666667,57.89666666666667,57.74,57.52333333333333,57.333333333333336,57.46333333333333,58.553333333333335,57.49666666666667,57.78,57.673333333333325,57.36333333333334,57.303333333333335,57.833333333333336,57.080000000000005,57.673333333333325,57.446666666666665,57.453333333333326,56.870000000000005
18,WWC_09_01_2021_no_nulls_AVG_64_classes.csv,56.84,57.30666666666667,57.56333333333333,58.083333333333336,58.20333333333334,57.849999999999994,57.68333333333333,57.64666666666667,58.32,58.31,58.656666666666666,58.39333333333334,58.24,58.39666666666667,57.900000000000006,58.26333333333333,58.04666666666666,58.61333333333334,58.48666666666667,57.59666666666667,58.0,57.99333333333333,57.99666666666667,57.946666666666665,58.5,57.96,57.99666666666667,58.01666666666667,58.099999999999994,57.53,58.16,58.02333333333333,57.31666666666666,57.53333333333333,57.47333333333333,57.68666666666667,57.43666666666667,57.60999999999999,57.77333333333333,57.51333333333333,57.826666666666675,57.26333333333333,57.22,57.576666666666675,57.55666666666667,57.106666666666676,57.21666666666666,57.18000000000001,57.46666666666667,57.080000000000005
19,WWC_09_01_2021_no_nulls_AVG_128_classes.csv,56.669999999999995,57.303333333333335,57.57666666666666,57.77,57.919999999999995,58.12,58.193333333333335,57.95333333333334,58.46666666666667,58.47666666666667,58.73333333333333,58.18333333333334,58.406666666666666,58.410000000000004,57.919999999999995,58.27333333333333,57.39000000000001,58.36666666666667,57.86333333333334,57.61000000000001,57.92666666666667,58.096666666666664,58.42333333333334,57.63666666666666,58.00666666666666,58.163333333333334,57.903333333333336,57.96333333333334,57.580000000000005,57.81333333333333,57.92666666666667,57.79333333333333,57.406666666666666,57.50999999999999,57.46,58.083333333333336,57.453333333333326,57.76666666666667,57.30666666666667,57.24,57.22666666666667,57.550000000000004,57.21,57.20666666666667,57.72,57.373333333333335,56.85,56.89333333333334,56.79333333333333,57.196666666666665
20,WWC_09_01_2021_no_nulls_AVG_256_classes.csv,58.13999999999999,57.846666666666664,58.20333333333334,58.21666666666667,59.23,59.156666666666666,59.52333333333333,59.03,59.53,59.53333333333334,59.56999999999999,59.35,59.56666666666667,59.326666666666675,59.23333333333333,59.53666666666666,59.43666666666667,60.153333333333336,59.64000000000001,59.366666666666674,59.11333333333332,59.17666666666667,59.39333333333334,59.20666666666667,58.77,59.669999999999995,59.373333333333335,59.093333333333334,59.52333333333333,59.23333333333333,58.95666666666667,59.1,59.300000000000004,58.88666666666666,58.47666666666667,59.050000000000004,59.20666666666667,58.99,58.98333333333334,58.96333333333333,59.06666666666666,58.70666666666667,59.050000000000004,58.43,58.81999999999999,58.82333333333333,58.81333333333333,58.666666666666664,58.81666666666666,58.60666666666666
21,WWC_09_01_2021_no_nulls_AVG_800_classes.csv,58.57,58.423333333333325,59.09,59.61333333333334,60.02,60.169999999999995,60.82,60.73666666666666,61.0,60.473333333333336,60.669999999999995,60.116666666666674,60.93666666666667,60.906666666666666,61.45333333333334,60.73666666666667,61.333333333333336,61.23333333333334,61.54666666666666,61.11666666666667,61.449999999999996,60.71666666666666,61.54666666666666,60.67333333333334,61.49,61.71,61.28333333333333,61.623333333333335,61.48,60.75333333333333,61.98,61.49,61.46000000000001,61.80666666666667,62.25333333333333,61.28,61.47,61.01666666666667,62.026666666666664,61.32666666666666,61.910000000000004,61.69,61.68000000000001,61.25999999999999,61.5,61.333333333333336,61.61000000000001,61.330000000000005,61.63333333333333,61.79333333333333
22,WWC_09_01_2021_no_nulls_AVG_1000_classes.csv,58.03666666666667,58.23666666666667,59.51333333333333,59.156666666666666,60.059999999999995,60.13999999999999,60.099999999999994,60.26333333333333,60.406666666666666,60.85666666666666,61.42333333333334,60.413333333333334,60.95666666666667,60.69,60.843333333333334,61.0,61.43666666666667,61.13666666666666,61.49333333333333,61.093333333333334,60.99,61.43,61.48333333333333,61.49666666666667,61.71,61.38999999999999,61.73333333333333,61.423333333333325,61.78333333333333,61.40666666666667,61.42666666666667,62.01333333333334,61.51,61.376666666666665,61.88666666666666,61.21666666666666,61.54666666666666,60.98,61.72666666666667,61.68,62.35333333333333,62.25,61.78666666666667,61.71333333333333,61.913333333333334,61.51666666666667,62.199999999999996,62.166666666666664,61.78666666666666,61.76666666666667
23,WWC_09_01_2021_no_nulls_AVG_1300_classes.csv,58.20666666666667,58.120000000000005,59.699999999999996,59.406666666666666,60.32999999999999,60.29,60.73333333333333,60.596666666666664,60.589999999999996,60.836666666666666,61.22,60.873333333333335,61.376666666666665,61.35666666666666,61.550000000000004,60.81333333333333,61.14666666666667,61.526666666666664,61.52333333333333,61.38666666666666,61.53333333333333,61.71,62.123333333333335,62.03333333333333,61.89666666666667,61.913333333333334,61.74,61.69333333333333,62.169999999999995,62.156666666666666,62.09666666666667,62.03666666666667,62.64666666666667,62.38999999999999,61.88666666666666,61.919999999999995,62.47,62.31333333333333,62.419999999999995,62.72,62.10999999999999,62.02333333333333,62.373333333333335,62.18000000000001,62.38,62.20000000000001,62.61000000000001,61.92666666666667,62.406666666666666,62.36000000000001
24,WWC_09_01_2021_no_nulls_AVG_1600_classes.csv,58.696666666666665,58.54333333333333,59.36666666666667,59.75333333333333,60.32333333333333,60.43666666666667,60.54333333333333,60.696666666666665,61.24,60.95000000000001,61.25333333333333,61.05666666666667,61.333333333333336,61.583333333333336,61.6,61.443333333333335,61.76333333333333,62.00333333333333,61.913333333333334,61.44333333333333,62.053333333333335,61.73,61.95666666666667,62.57333333333333,62.129999999999995,62.06333333333333,62.196666666666665,63.02,62.56999999999999,62.05666666666667,61.93,62.24,62.49666666666667,61.64333333333334,62.11666666666667,62.60666666666666,63.00666666666666,62.666666666666664,62.72,62.18666666666667,62.03666666666667,62.85,62.53666666666666,62.30333333333334,61.916666666666664,62.14333333333334,62.29,62.346666666666664,62.78666666666667,62.48
25,WWC_09_01_2021_no_nulls_AVG_1900_classes.csv,58.879999999999995,58.82,60.03666666666666,59.879999999999995,60.576666666666675,59.900000000000006,61.21333333333333,60.71333333333334,61.166666666666664,60.63,61.26333333333333,61.02,61.99,61.35333333333333,61.63333333333333,61.166666666666664,61.98333333333333,61.586666666666666,61.64666666666667,61.79666666666666,62.44,62.20666666666667,62.55333333333334,62.44,62.370000000000005,61.93666666666667,62.383333333333326,62.22,63.18,62.46333333333334,62.60333333333333,62.11333333333334,62.49666666666667,62.56,62.653333333333336,61.923333333333325,62.43,62.27,62.919999999999995,62.699999999999996,62.92666666666667,62.419999999999995,62.78333333333334,62.81333333333333,62.95666666666667,62.406666666666666,61.946666666666665,62.39333333333334,62.03666666666667,62.77
26,WWC_09_01_2021_no_nulls_AVG_2200_classes.csv,58.550000000000004,58.39666666666667,59.75666666666666,59.53333333333333,60.64000000000001,60.126666666666665,60.50333333333333,60.879999999999995,61.526666666666664,61.30666666666667,61.24666666666667,61.76333333333333,61.81,61.626666666666665,62.10999999999999,62.046666666666674,62.129999999999995,61.94,62.03666666666667,62.21,62.48,62.75666666666667,61.68333333333334,62.38666666666666,62.57333333333333,61.96,63.089999999999996,62.416666666666664,62.629999999999995,61.76,62.77333333333333,62.70666666666667,62.47,62.56,62.70000000000001,62.73333333333334,62.20333333333334,62.34,62.86333333333334,62.88,62.46,62.666666666666664,62.80666666666667,62.72333333333333,62.82333333333333,62.91,62.800000000000004,62.89333333333334,63.00666666666667,62.56
27,WWC_09_01_2021_no_nulls_AVG_2500_classes.csv,58.916666666666664,58.31666666666666,60.086666666666666,59.53333333333333,60.23333333333334,60.54666666666666,60.953333333333326,60.35666666666666,61.03333333333333,61.14333333333334,61.846666666666664,61.63999999999999,61.42333333333334,61.446666666666665,61.81,61.663333333333334,61.620000000000005,62.01666666666666,62.00333333333334,61.50666666666667,62.096666666666664,62.60333333333333,62.57,62.403333333333336,62.60666666666666,62.300000000000004,62.45666666666667,62.55666666666667,62.77333333333333,62.300000000000004,62.52,62.083333333333336,63.21,62.296666666666674,63.413333333333334,62.79333333333333,63.02333333333334,62.53,62.87,62.416666666666664,62.89333333333334,62.88666666666666,62.73,62.57666666666666,63.38666666666666,62.77,62.54,62.97333333333333,62.72666666666667,63.0
